epoch,train_loss,train_loss_mse,train_loss_kl,train_mse_rec,train_psnr_rec,train_ssim_rec,val_loss,val_loss_mse,val_loss_kl,val_mse_rec,val_psnr_rec,val_ssim_rec,val_mse_gt,val_mse_gt_h,val_mse_gt_e,val_psnr_gt,val_psnr_gt_h,val_psnr_gt_e,val_ssim_gt,val_ssim_gt_h,val_ssim_gt_e
1,4917.8677395644345,6898.074859185242,1947.556623485981,0.002257100265554232,18.530987792670444,0.8468394761119409,1293.5490116278331,2150.493025779724,8.132867991924286,0.00029698356441561674,25.415584802627563,0.9428567389647166,0.09028726272905867,0.11208648405348261,0.06848804206432153,13.169430136680603,14.172963817914328,12.16589649518331,0.46395644793907803,0.6177491433918476,0.3101637565996498
2,631.8421606994918,758.7979744644526,441.40838612199394,0.00015071228896080123,29.461245116464333,0.9693704480526006,1048.070050875346,1741.5805594921112,7.804217497507731,0.00023807708506258982,26.602909803390503,0.9637788732846578,0.09180145353699724,0.10548470510790746,0.0781182018108666,12.658801198005676,13.040094494819641,12.277507801850637,0.4620080615083377,0.5781021565198898,0.34591397146383923
3,508.24040225783796,513.8679372778436,499.79906073113756,8.868449642586409e-05,31.34974069278952,0.9745516296105362,1037.2703772385914,1723.8104128042858,7.460170865058899,0.00019702679780190616,27.012657801310223,0.9704938133557638,0.09283816519503792,0.10814720687145989,0.07752912282012403,12.879053235054016,13.268541693687439,12.489564696947733,0.42925435056289035,0.5437952826420466,0.31471342376122874
4,480.21979999994215,469.4381914907157,496.39217488799613,8.330460215405748e-05,31.575437814703484,0.9756942104671804,763.9513951142629,1268.7294772466023,6.784188310305278,0.00014448544842101305,29.427279710769653,0.9740918601552645,0.09420914140840371,0.11291194272538026,0.07550633892727394,13.201783140500387,13.580761233965555,12.822805166244507,0.3638150356709957,0.511839130272468,0.215790942699338
5,448.8266062804308,420.7756194345194,490.9030539706985,7.849886038301869e-05,31.66386928151569,0.9766503331644275,673.222585439682,1117.5919909477234,6.668371220429738,0.00017496981354270247,27.574957132339478,0.9717979654669762,0.09855538637687762,0.12274749654655655,0.07436327341323097,12.894006172815958,12.830318729082743,12.957693696022034,0.260200056557854,0.36442039844890434,0.155979715869762
6,440.3343145361444,408.8751120906306,487.52308437835546,7.699340915277609e-05,31.713010525816426,0.9772457409102769,550.1892402966818,912.656769434611,6.487888356049855,0.00012347090099259125,28.778648853302002,0.97691893329223,0.09611453860998154,0.1206663924579819,0.0715626848783965,13.161392410596212,13.36792802810669,12.954856872558594,0.2707335638503234,0.4082622605686386,0.13320486336791268
7,423.2426147099355,382.0460885395936,485.037373619622,7.303108182352701e-05,31.796023160925408,0.9778416856629024,540.5021758079529,896.7891641457876,6.071596006552379,0.00013296580512663544,28.397951523462932,0.9764983306328455,0.09782495147859056,0.12044490051145355,0.07520500003981094,13.070128520329794,13.02314563592275,13.117111206054688,0.27119799610227346,0.3601140193641186,0.18228197295684367
8,416.83520377642736,373.0148701961572,482.56567343038404,7.154295537251123e-05,31.79472904295718,0.9786245155532213,388.8447907765706,643.4828041394552,6.887717227141063,0.00012582769128736496,28.82369049390157,0.9771706089377403,0.09870476430902879,0.1227151930021743,0.07469433709047735,12.972594738006592,12.884961366653442,13.060227910677591,0.24000768239299455,0.324953602006038,0.1550617614411749
9,410.28477478027344,364.50624258032343,478.95254310499433,7.10864438044922e-05,31.78436753196174,0.9786391705274582,592.3380366563797,983.1828099886576,6.070811688899994,0.00012418927690305281,29.26892288525899,0.9760579441984495,0.09871390446399649,0.12209915897498529,0.07532864948734641,13.033398628234863,12.939309279123941,13.127488017082214,0.24861060765882334,0.3186045487721761,0.17861666902899742
10,408.1686394858699,360.61242704707865,479.5029270841047,6.907457003616276e-05,31.90420527932768,0.9790514587508559,439.66027839978534,728.6129376093546,6.231234967708588,0.0001416045712782458,29.128163894017536,0.978191596766313,0.10079407676433523,0.12938279968996844,0.07220535073429346,12.603127559026083,12.334163745244345,12.87209165096283,0.1600784637654821,0.21237217882905193,0.10778475427650847
11,401.44914578261535,350.70899802474617,477.5593382125782,6.87880066351858e-05,31.887711382590197,0.9790458887532989,374.6043920516968,620.1944708029429,6.219236135482788,8.301275359675249e-05,30.975152254104614,0.9791246578097343,0.09899396138886611,0.12525037474309406,0.07273754865551989,12.910789370536804,12.846720139185587,12.97485856215159,0.2133357433291773,0.29901629003385705,0.1276551930156226
